brand;year;transmission;mileage;fuelType;tax;mpg;engineSize;price
vauxhall;2016;Manual;44500;Diesel;30.0;62.7;1.6;8850
ford;2018;Manual;21632;Petrol;145.0;35.3;2.3;25000
merc;2015;Automatic;32895;Diesel;20.0;67.3;2.1;16250
ford;2017;Manual;36123;Diesel;125.0;56.5;2.0;17958
vauxhall;2019;Manual;7821;Diesel;145.0;53.3;1.5;16990
toyota;2013;Automatic;68057;Hybrid;0.0;68.9;1.8;14498
toyota;2017;Automatic;11356;Diesel;145.0;38.2;2.8;37790
bmw;2014;Semi-Auto;64215;Diesel;160.0;49.6;3.0;17898
ford;2016;Manual;13608;Diesel;30.0;64.2;1.5;13490
toyota;2017;Semi-Auto;19432;Petrol;150.0;43.5;1.8;16781
merc;2018;Semi-Auto;8123;Diesel;145.0;48.7;2.9;33990
vauxhall;2018;Manual;14066;Diesel;145.0;53.3;1.5;13300
merc;2018;Semi-Auto;18234;Petrol;150.0;21.4;4.0;135124
vw;2019;Semi-Auto;3500;Diesel;145.0;38.7;2.0;33290
ford;2011;Automatic;90000;Diesel;200.0;48.7;2.0;5995
bmw;2018;Automatic;35706;Diesel;145.0;47.1;3.0;33450
ford;2018;Semi-Auto;9412;Diesel;150.0;47.9;2.0;24000
merc;2016;Automatic;30106;Diesel;125.0;58.9;2.1;18500
toyota;2017;Semi-Auto;6800;Petrol;145.0;42.8;1.8;15495
bmw;2020;Semi-Auto;1501;Petrol;145.0;29.1;3.0;46000
merc;2015;Automatic;29520;Diesel;125.0;55.4;2.1;17299
merc;2015;Automatic;40659;Diesel;125.0;56.5;2.1;16799
merc;2014;Semi-Auto;34170;Petrol;200.0;43.5;2.0;13650
bmw;2017;Semi-Auto;22768;Diesel;145.0;54.3;2.0;24500
merc;2016;Automatic;33000;Diesel;145.0;56.5;2.1;19200
toyota;2017;Automatic;3881;Hybrid;135.0;235.0;1.8;20795
vw;2015;Manual;22442;Diesel;20.0;55.4;2.0;12998
merc;2016;Automatic;39820;Diesel;30.0;70.6;2.1;16299
skoda;2020;Manual;55;Petrol;145.0;49.6;1.0;17495
bmw;2019;Semi-Auto;10;Diesel;145.0;31.4;3.0;76970
vw;2019;Manual;3248;Diesel;145.0;52.3;2.0;24690
hyundi;2017;Semi-Auto;37123;Diesel;150.0;42.8;2.2;19899
vw;2015;Manual;26196;Petrol;205.0;42.8;1.4;11000
vw;2019;Automatic;6822;Diesel;260.0;33.6;3.0;30700
skoda;2018;Semi-Auto;13553;Petrol;145.0;58.9;1.0;11795
merc;2018;Manual;30577;Diesel;145.0;46.3;2.1;19990
audi;2018;Automatic;11300;Diesel;145.0;50.4;3.0;34399
vw;2016;Manual;22687;Diesel;20.0;55.4;2.0;15199
vauxhall;2015;Manual;33217;Diesel;125.0;60.1;2.0;7280
audi;2019;Automatic;5900;Diesel;145.0;50.4;3.0;48000
bmw;2017;Automatic;24041;Hybrid;0.0;470.8;0.0;21495
vw;2017;Manual;44081;Petrol;145.0;47.1;2.0;14075
ford;2016;Automatic;24664;Diesel;150.0;52.3;2.0;19500
bmw;2019;Automatic;7414;Diesel;145.0;44.8;3.0;47890
vw;2020;Semi-Auto;2334;Petrol;145.0;35.8;1.5;29399
ford;2018;Manual;21384;Petrol;145.0;54.3;1.0;11999
skoda;2014;Semi-Auto;40468;Petrol;145.0;48.7;1.4;7495
merc;2018;Automatic;15232;Diesel;145.0;48.7;2.1;19750
vw;2019;Semi-Auto;6280;Diesel;145.0;33.6;2.0;46795
vw;2018;Semi-Auto;16203;Diesel;145.0;47.1;2.0;27994
ford;2017;Manual;35495;Diesel;125.0;56.5;2.0;17999
